,company,username,esg_company,verified
725,Forever 21,forever21,Forever 21 Inc,Verified
726,Formosa Chemicals,#formosachemicals,Formosa Chemicals & Fibre Corp.,2 posts
727,Formosa Petrochemical,#formosapetrochemicalcompany,Formosa Petrochemical Corp.,1 post
728,Formosa Plastics,#formosaplastics,Formosa Plastics Corp.,129 posts
729,Fortescue Metals Group,#fortescuemetalsgroup,FORTESCUE METALS GROUP LTD,270 posts
730,Fortinet,behindthefirewall,Fortinet Inc,Fortinet
731,Fortis (Canada),Fortis West,Fortis Inc,"3040 Universal Drive Unit A , Mississauga, Ontario"
732,Fortive,fortivecorp,FORTIVE CORPORATION,Fortive Corporation
733,Fortum,fortunefeimster,Fortum OYJ,Verified
734,Foshan Haitian Flavouring and Food,Not Found,"Foshan Haitian Flavouring & Food Co., Ltd.",Not Found
735,Fosun International,fosun_international,Fosun International Ltd.,Fosun
736,Shanghai Fosun Pharmaceutical,#shanghaifosunpharmaceutical,Fosun Pharmaceutical,2 posts
737,Founder Securities,Not Found,"FOUNDER SECURITIES CO., LTD.",Not Found
738,Fox Corp,foxcorphousing,Fox Corp,"FOX Corporate Housing, LLC."
739,Franco-Nevada,lawyer.usa,Franco-Nevada Corporation,Franco Nevada
740,Franklin Resources,franklinmanagementresources,Franklin Resources Inc,Franklin Management Resources
741,Freddie Mac,freddiemaccorp,Freddie Mac,Verified
742,Freeport-McMoRan,freeportfcx,Freeport-McMoRan Copper & Gold Inc.,Freeport-McMoRan
743,Fresenius,fresenius.group,Fresenius SE,Fresenius
744,Frontier Communications,frontiercorp,Frontier Communications,Frontier Communications
745,Fubon Financial,#fubonfinancial,Fubon Financial Holding Co. Ltd.,61 posts
746,Fujifilm Holdings,#fujifilmholdings,Fujifilm Holdings Corp.,3 posts
747,Fujitsu,fujitsu_america,FUJITSU LIMITED,Fujitsu America
748,Fukuoka Financial Group,#fukuokafinancialgroup,Fukuoka Financial Group Inc.,8 posts
749,Fuyo General Lease,C&C Buffet e locação,"Fuyo General Lease Co., Ltd.","RUA GENERAL CADORNA 16, São Gonçalo"
750,GAIL India,gailindia,Gail(India) Limited,GAIL
751,Galaxy Entertainment,galaxy._.entertainment._,GALAXY ENTERTAINMENT GROUP LIMITED,[ Company 💕 ]
752,Galp Energia,galp.energia.official,Galp Energia Sgps,Galp Energia
753,GAMESTOP,gamestop,GameStop Corp.,Verified
754,GAP,gap,Gap Inc.,Verified
755,Garmin,garmin,Garmin International Inc.,Verified
756,Gazprom,gazprom_neft.ru,Gazprom,Verified
757,GD Power Development,Power of Development,"GD Power Development Co., Ltd.",Ohradní 1439/61a
758,Geberit,geberit_usa,GEBERIT AG,Verified
759,Gecina,Not Verified,Gecina,Not Verified
760,Geely Automobile Holdings,#geelyautomobileholdingslimited,Geely Automobile Holdings Ltd.,2 posts
761,GEICO,geico,GEICO,Verified
762,Gemdale,gemdale,Gemdale Corporation,Gem
763,GCI Liberty,gciliberty,"General Communication, Inc. (GCI)",GCI Liberty
764,General Electric,generalelectric,General Electric Company,Verified
765,General Mills,generalmills,"General Mills, Inc.",Verified
766,Chevrolet,chevrolet,General Motors Corporation (GM),Verified
767,General Motors,generalmotors,General Motors Corporation (GM),Verified
768,Genmab,gen_mabz,Genmab A/S,Brent Oliver Abucejo
769,Genting,resortsworldgenting,Genting Bhd,Verified
770,Genuine Parts,genuine.parts.company,Genuine Parts Company,Genuine Parts Company
771,Genworth Financial,genworth_financial,"Genworth Financial, Inc.",Genworth
772,George Weston,weston_36,George Weston Limited,George Weston
773,GF Securities,#gfsecurities,"GF Securities Co., Ltd.",6 posts
774,Gilead Sciences,gileadsciences,"Gilead Sciences, Inc.",Gilead Sciences
775,Givaudan,givaudan,Givaudan S.A.,Givaudan
776,GlaxoSmithKline,glaxosmithkline_co,Glaxo Smith Kline,Glaxosmithkline
777,Glencore International,Not Found,GLENCORE INTERNATIONAL PLC,Not Found
778,Global Payments,globalpaymentsintegrated,Global Payments Inc.,Global Payments Integrated
779,Globe Life,globelifefield,Globe Life Inc,Verified
780,Hyundai Glovis,hyundai_glovis,GLOVIS CO. LTD.,현대글로비스 HYUNDAI GLOVIS
781,Goodman Group,goodman_group,Goodman Group,Goodman Group
782,Google,google,"Google, Inc.",Verified
783,Alphabet,alphabetlegends,"Google, Inc.",Alphabet Legends
784,Grasim Industries,grasim_metal_industries_,Grasim Industries Limited,Stainless steel raw
785,Great Wall Motor,greatwallmotors_global,"Great Wall Motor Co., Ltd.",Great Wall Motors
786,Gree Electric Appliances,gree_russia,Gree Electrical Appliances Income,GREE Electric Appliances lns
787,Gree,greeicy,Gree Inc,Verified
788,Greenland Holdings Group,Greenland Group,Greenland Holdings Corporation Limited,"1 Gulshan Avenue, Gulshan-1, Dhaka-1212, Bangladesh"
789,Greentown China Holdings,旺角大球場,Greentown China Holdings Ltd.,"Mong Kok Stadium 37 Flower Market Road, Kownloon., Hong Kong"
790,Grifols,grifols_plasma,Grifols SA,Grifols Plasma
791,Danone,danonepveux,Groupe Danone,Daniel Nepveux
792,SEB SA,sebsaavedra,Groupe SEB,Verified
793,Grupo Aval,grupoavalbr,"GRUPO AVAL ACCIONES Y VALORES, S.A.",Grupo Aval
794,Grupo Bimbo,grupo_bimbo,"Grupo Bimbo, S.A. de C.V.",Verified
795,Banco Btg Pactual,#bancobtgpactual,Grupo BTG Pactual,33 posts
796,Grupo Elektra,grupoelektra,Grupo Elektra S.A. de C.V.,"GRUPO ELEKTRA DE VENEZUELA,CA"
797,Banorte,banorte_mx,"Grupo Financiero Banorte, S.A. de C.V.",Verified
798,Grupo Mexico,gmexico_oficial,Grupo Mexico S.A.,Grupo México
799,Companhia Brasileira de Distribuicao,ciabrasileira,Grupo Pao de Acucar - Companhia Brasileira de Distribuicao,Companhia Brasileira de Teatro
800,GS Holdings,gsholdings,GS Holdings Corp.,GSホールディングス株式会社
801,Guangdong Haid Group,WHC SOLAR GROUP,"Guangdong Haid Group Co., Limited","R901-902,Yidong Building,NO.303 Huanshi Mid Road,Yuexiu District,Guangzhou City, 广东省 广州市"
802,Guangdong Investment,#guangdonginvestmenttower,Guangdong Investment Ltd.,1 post
803,Guangzhou Automobile Group,#guangzhouautomobilegroup,Guangzhou Automobile Group Co. Ltd.,2 posts
804,Guangzhou Baiyunshan Pharmaceutical Holdings,Not Found,GUANGZHOU BAIYUNSHAN PHARMACEUTICAL HOLDINGS COMPANY LIMITED,Not Found
805,Yuexiu Property,#yuexiuproperty,GUANGZHOU INV.CO.LTD.,15 posts
806,Guangzhou R&F,gzrffc2011,Guangzhou R&F Properties Co.Ltd.,Guangzhou R&F FC
807,GUCCI,gucci,Gucci,Verified
808,Guoco Group,fuocogroup,Guoco Group Limited,Fuoco Group
809,Guosen Securities,#guosensecurities,Guosen Securities Co Ltd,2 posts
810,Guotai Junan Securities,#guotaijunansecurities,Guotai Junan International Holdings Limited,1 post
811,KRAFT HEINZ,kraftheinzus,H. J. Heinz Company,Verified
812,Sabanci Holding,sabanciholding,Haci Omer Sabanci Holding A.S.,Verified
813,Haidilao,haidilaohotpotus,Haidilao International Holding Ltd,Haidilao US
814,Haier,haierthailand_official,"HAIER ELECTRONICS GROUP CO., LTD.",Haier Thailand
815,Hainan Airlines,hainanairlines,"Hainan Airlines Co., Ltd.",Verified
816,Haitong Securities,#haitongsecurities,HAITONG Securities Company Limited,6 posts
817,ICA Gruppen,icagruppen,Hakon Invest AB,ICA Gruppen
818,Hakuhodo DY Holdings,First for Education,Hakuhodo DY Holdings Inc,"1 Worcester Street, Stourbridge"
819,HAL Trust,halosneakers,HAL Trust,SNEAKERS ORIGINAL TRUSTED
820,Halliburton,halliburton,Halliburton Company,Halliburton
821,Hallmark Cards,Not Verified,"Hallmark Cards, Inc.",Not Verified
822,Hana Financial Group,#hanafinancialgroup,Hana Financial Group Inc.,956 posts
823,HANESBRANDS,hanesbrands,Hanesbrands Inc.,Hanesbrands
824,Hang Lung Group,#hanglunggroup,Hang Lung Group Limited,2 posts
825,Hankyu Hanshin Holdings,#hankyuhanshinholdings,Hankyu Hanshin Holdings Inc,11 posts
826,Hanwa,hanwaghunting,HANWA COMPANY LIMITED,Hanwag Hunting
827,Hanwha,hle.official,Hanwha Chemical,Hanwha Life Esports
828,Harbin Bank,harbin193_bn,Harbin Bank Co Ltd,Harbin SKN NaanNiinG_Bank
829,HARLEY-DAVIDSON,harleydavidson,"Harley-Davidson, Inc.",Verified
830,Hasbro,hasbro,"Hasbro, Inc.",Verified
831,Haseko,haseko,Haseko Corporation,Hase
832,HCA Healthcare,hcahealthcare,HCA Inc,Verified
833,HCL,#hclfvegan,HCL Infosystems Ltd.,"319,473 posts"
834,HCL Technologies,hcltech,HCL Technologies Ltd.,HCL Technologies
835,HDFC Bank,hdfcbank,HDFC Bank Ltd.,Verified
836,Healthpeak Properties,#healthpeakproperties,"Healthpeak Properties, Inc.",6 posts
837,Heico,heicosportiv,HEICO Corporation,HEICO SPORTIV
838,HeidelbergCement,heidelbergcement_group,Heidelbergcement AG,HeidelbergCement
839,Heineken,heineken,Heineken NV,Verified
840,Helvetia Holding,helvetiaholdingsgroup,Helvetia Holding AG,helvetiaholdingsgroup
841,Henderson Land,Not Verified,Henderson Land Development Company Limit,Not Verified
842,Hengli Petrochemical,#henglipetrochemical,"Hengli Petrochemical Co., Ltd.",2 posts
843,Henkel,henkel,HENKEL KGAA,Verified
844,H&M,hm,Hennes & Mauritz,Verified
845,hennessy,#hennessy,"Hennessy Advisors, Inc.","1,614,010 posts"
846,Henry Schein,henryschein,Henry Schein,Henry Schein
847,Hermès International,hermes.international,Hermes International,Alex of Hermes
848,HERTZ GLOBAL HOLDINGS,#hertzglobalholdings,Hertz Global Holdings Inc,11 posts
849,Hess,hessaintheblood,Hess Corporation,𝑯𝒆𝒔𝒔𝒂 𝑭𝒂𝒏𝒑𝒂𝒈𝒆 ♡ FAN ACCOUNT
850,Hesteel,adriancortessteelhead,Hesteel Group Company Limited,Adrian Cortes
851,Hewlett Packard Enterprise,hpe,Hewlett Packard Enterprise Co,Verified
852,Hexagon,hexagon_model,Hexagon AB,💦❌Adults 🔞 only❌💦
853,Hikari Tsushin,hikarisushichatsworth,Hikari Tsushin Inc,Hikari Sushi Chatsworth
854,Hilton,hiltoncarter,HILTON WORLDWIDE HOLDINGS INC.,Verified
855,Hindalco Industries,hindalcoworld,"Hindalco Industries, Ltd.",Hindalco Industries
856,Hitachi,og_magic_wand,Hitachi Limited,Hitachi Magic Wand
857,Hobby Lobby,hobbylobby,Hobby Lobby,Verified
858,Hokkoku Bank,hokkokubankhoneybee,HOKKOKU BANK,北國銀行HoneyBee🐝【公式】
859,HollyFrontier,#hollyfrontier,HollyFrontier Corp.,299 posts
860,Holmen AB,hgmentreprenad,HOLMEN AB,Holmen gård & maskin AB
861,Hologic,hologic,"Hologic, Inc.",Verified
862,Home Depot,homedepot,"Home Depot, Inc.",Verified
863,Hon Hai Precision,#honhaiprecisionindustryco,Hon Hai Precision Industry Co. Ltd.,6 posts
864,Honda Motor,hondaukmotorcycles,Honda Motor Company Limited,Verified
865,Honeywell International,#honeywellinternational,Honeywell International Inc.,523 posts
866,Hong Kong Exchanges,binghkes,Hong Kong Exchanges & Clearing Limited,Bing Hong Kong Exchange Square
867,Hong Leong Financial,#hongleongfinancialgroup,Hong Leong Financial Group Berhad,53 posts
868,Hopson Development Holdings,visarealestateltd,Hopson Development Holdings Ltd.,Hopsons Development HoldIngs
869,Hormel Foods,hormelfoods,Hormel Foods Corporation,Verified
870,Host Hotels & Resorts,Enotel Hotels & Resorts,Host Hotels & Resorts Inc.,"Rodovia PE-09 - Gleba 6BA - Porto de Galinhas, Ipojuca"
871,Hotai Motor,limitmotor83,HOTAI MOTOR COMPANY LIMITED,Motolimit16 @hotmail.com
872,HDFC,hdfc_upsl,Housing Development Finance Corp. Ltd.,HDFC UPSL
873,Howmet Aerospace,howmetaerospace,HOWMET AEROSPACE INC.,Howmet Aerospace
874,Hoya,hoyatennis,Hoya Corporation,Georgetown Tennis
875,HSBC Holdings,neyojason,HSBC Holdings PLC,HSBC Holdings
876,Hua Nan Financial,Nanyang Polytechnic,Hua Nan Financial Holding Co. Ltd.,"180 Ang Mo Kio Avenue 8, Ang Mo Kio, Singapore"
877,Huaxia Bank,Not Verified,Hua Xia Bank,Not Verified
878,Huadian Power International,King Power,Huadian Power International Corp. Ltd.,"8 King Power Complex, Rangnam Road, Phayathai, Ratchathewi,"
879,Huafa Industrial,"Shenzhen Kerui Electronic Industry Co.,Ltd","Huafa Industrial Co.,LTD.Zhuhai","Building No.5, Huafa Industrial Park, Fuyuan Rd.No.1, Xinhe Village, Fuyong Town, Bao'an District, Shenzhen, 广东省 深圳市 （Shenzhen, Guangdong）"
880,Huaibei Mining Holdings,Not Verified,"Huaibei Mining (Group) Co., Ltd",Not Verified
881,Huaneng Power International,King Power,Huaneng Power International Inc.,"8 King Power Complex, Rangnam Road, Phayathai, Ratchathewi,"
882,Huatai Securities,#huataisecurities,"Huatai Securities Co., Ltd.",3 posts
883,Huawei,huawei,Huawei Technologies,Verified
884,Huishang Bank,Not Found,HUISHANG BANK CORPORATION LIMITED,Not Found
885,Humana,humana,Humana Inc.,Verified
886,Hunan Valin Steel,"Hunan Great Steel Pipe Co.,Ltd","Hunan Valin Steel Co., Ltd.","No.9 Xiangfu Rd, Yuhua District, Changsha, China"
887,Huntington Bank,huntingtonbank,Huntington Bancshares Incorporated,Verified
888,Huntington Ingalls Industries,huntingtoningalls,"Huntington Ingalls Industries, Inc.",Huntington Ingalls Industries
889,Huntsman,huntsmanabby,Huntsman International LLC,Verified
890,Husky Energy,huskyenergy,Husky Energy Inc.,Husky Energy
891,Hyakugo Bank,#hyakugobank,HYAKUGO BANK,14 posts
892,Hyakujushi Bank,#hyakujushibank,HYAKUJUSHI BANK,4 posts
893,Hyatt Hotels,hyatt_hotels_and_resorts,Hyatt Hotels Corporation,Hyatt Hotels and Resorts
894,Hydro One,hydrooneofficial,Hydro One Inc.,Hydro One
895,SK Hynix,sk_hynix__,Hynix Semiconductor Inc.,sk hynix
896,Hyundai Engineering,hyundai_engineering_,Hyundai Engineering & Construction,수익형 부동산
897,Korea Shipbuilding & Offshore Engineering,Not Verified,"Hyundai Heavy Industries Co., Ltd.",Not Verified
898,Hyundai Heavy Industries Holdings,hyundai_industries_ltd,Hyundai Heavy Industries Holdings Co. Ltd.,Hyundai Heavy Industries
899,Hyundai Marine & Fire,hi_planner_,HYUNDAI MARINE & FIRE INSURANCE COMPANY,HYUNDAI MARINE&FIRE INSURANCE
900,Hyundai Mobis,hyundaimobisin,Hyundai Mobis,Verified
901,Hyundai Motor,hmsgofficial,Hyundai Motor Co.,Verified
902,Hyundai Steel,hyundaisteeltr,Hyundai Steel Company,Hyundai Steel Türkiye
903,Hikvision,hikvision,"HZ HIK-VISION DIGITAL TECH. CO.,LTD.",Verified
904,IAC/InterActiveCorp,Not Verified,IAC/Interactivecorp,Not Verified
905,Iberdrola,iberdrola,Iberdrola Renovables S.A.,Verified
906,ICICI Bank,icicibank,ICICI Bank Ltd,Verified
907,IDBI Bank,idbibankofficial,IDBI Bank Limited,IDBI Bank
908,Vodafone Idea,vi.india_,Idea Cellular Ltd.,vodafone/idea. VI
909,Idemitsu Kosan,idemitsu.co,Idemitsu Kosan Company Limited,"Idemitsu Kosan Co.,Ltd."
910,IDEX,#idex,IDEX Corporation,"16,392 posts"
911,IDEXX Laboratories,idexxlab,"IDEXX Laboratories, Inc.",IDEXX Laboratories
912,iHeartMedia,iheartmediaofficial,"iHeartMedia, Inc.",iHeartMedia
913,IHS Markit,ihs.markit,IHS Markit Ltd,IHS Markit
914,Iida Group Holdings,#iidagroupholdings,"Iida Group Holdings Co., Ltd.",2 posts
915,IKEA,ikeausa,IKEA Group,Verified
916,Iliad,Not Verified,Iliad S.A.,Not Verified
917,Illinois Tool Works,illinoistoolworks,Illinois Tool Works Inc.,ITW
918,Illumina,Not Verified,"Illumina, Inc.",Not Verified
919,Imperial Brands,imperialibrands,Imperial Tobacco Group Ltd,IMPERIALI BRANDS®
920,Inchcape,inchcape,Inchcape Plc,ｊａｃｑｕｉ ｂｕｒｎｓ
921,Incyte,incytediagnostics,Incyte Corporation,Incyte Diagnostics
922,Indian Bank,myindianbank,Indian Bank Ltd.,Verified
923,Indian Oil,indianoilcorp,Indian Oil Corp. Ltd.,Indian Oil Corporation Limited
924,ZARA,zara,Inditex SA,Verified
925,Indorama Ventures,indoramaventures_official,Indorama Ventures PCL,Indorama Ventures PCL
926,IndusInd Bank,indusind_bank,IndusInd Bank Limited,Verified
927,ICBC,icbc.official,Industrial & Commercial Bank of China,Indiana Chin Baptist Church
928,iA Financial Corporation,IFC - International Finance Corporation,Industrial Alliance Insurance and Financial Services Inc.,"2121 Pennsylvania Ave NW, Washington, DC"
929,Industrial Bank,bankindustrial,Industrial Bank Co. Ltd.,Industrial Bank
930,Industrial Bank of Korea,#industrialbankofkorea,Industrial Bank Of Korea,46 posts
931,Infineon Technologies,#infineontechnologies,Infineon Technologies AG,739 posts
932,Infosys,infosys,Infosys Technologies,Verified
933,ING Group,#inggroup,ING GROEP N.V.,298 posts
934,Inmobiliaria Colonial,inmocolonial,Inmobiliaria Colonial SA,Inmobiliaria Colonial
935,Inner Mongolia Yili,#innermongoliayiliindustrialgrouplimitedbyshareltd,INNER MONGOLIA YILI ENERGY COMPANY LIMITED,1 post
936,Yili,yiliangpeng,"INNER MONGOLIA YILI INDUSTRIAL GROUP CO., LTD.",Verified
937,Inpex,inpexau,INPEX HOLDINGS INC,INPEX Australia
938,Inspur Electronic Information Industry,Not Verified,"Inspur Electronic Information Industry Co., Ltd.",Not Verified
939,Insurance Australia Group,#insuranceaustraliagroup,Insurance Australia Group,17 posts
940,Intact Financial,#intactfinancial,Intact Financial Corp.,6 posts
941,Intel,intel,Intel Corporation,Verified
942,Interactive Brokers Group,nigroupinteractivebrokers,Interactive Brokers Group Inc.,NI Group Interactive Brokers
943,Holiday Inn,holidayinn,Intercontinental Hotels Group,Verified
944,IntercontinentalExchange,#intercontinentalexchange,"IntercontinentalExchange, Inc.",233 posts
945,IBM,ibm,International Business Machines Corporation (IBM),Verified
946,International Airlines,ghana_international_airlines,International Consolidated Airlines Group S. A.,ghana airlines
947,International Flavors & Fragrances,international__flavors,International Flavors & Fragrances Inc.,International Flavors
948,International Paper,ipbooth707,International Paper,International Paper
949,Interpublic Group,interpublicipg,Interpublic Group of Companies,Verified
950,Intesa Sanpaolo,intesasanpaolo,Intesa Sanpaolo,Verified
951,Intuit,intuit,Intuit Inc.,Verified
952,Intuitive Surgical,intuitive_surgical,"Intuitive Surgical, Inc.",Intuitive
953,Inventec,inventecperformancechemicals,Inventec Corp.,Inventec Performance Chemicals
954,Invesco,invescous,Invesco Ltd.,Verified
955,Investec,investec,Investec Limited,Investec
956,Investor AB,investor._.ab,Investor AB,Inve Stor AB
957,IQVIA,viewatiqvia,Iqvia Holdings Inc,IQVIA
958,Israel Discount Bank,#israeldiscountbank,Israel Discount Bank Limited,9 posts
959,Isuzu Motors,isuzumotorsindia,Isuzu Motors Limited,Isuzu Motors India
960,Itaú Unibanco Holding,Itaú-Unibanco Centro Empresarial,Itau Unibanco Holding SA,"Avenida Engenheiro Armando de Arruda Pereira, 707"
961,Itaúsa,fundacaoitausa,Itausa Investimentos Itau SA,Fundação Itaúsa Industrial
962,ITC,itcosmetics,ITC Holdings Corp,Verified
963,Itochu,itochuintl,Itochu,ITOCHU International Inc.
964,J.C. PENNEY,j_c_penney,"J. C. Penney Company, Inc.",Jarek C Penney
965,J Sainsbury,j_sainsbury,J. SAINSBURY PLC,Jessica Sainsbury
966,J.B. Hunt Transport Services,Not Verified,"J.B. Hunt Transport Services, Inc.",Not Verified
967,JM Smucker,jmsmuckerco,J.M. Smucker Co.,Verified
968,Jacobs,jacobsartorius,Jacobs Douwe Egberts BV,Verified
969,Land Rover,landroverdefender_2020,Jaguar Land Rover,Land Rover Defender 2020
970,Warby Parker,warbyparker,"JAND, Inc.",Verified
971,Japan Airlines,japanairlines_jal,Japan Airlines,Verified
972,Japan Exchange Group,japanexchangegroup,"Japan Exchange Group, Inc.",Japan Exchange Group
973,Japan Post Holdings,#japanpostholdings,"JAPAN POST HOLDINGS Co.,Ltd.",13 posts
974,Japan Tobacco,#japantobaccointernational,Japan Tobacco Inc,911 posts
975,Jardine Matheson,#jardinematheson,Jardine Matheson Holdings Ltd.,734 posts
976,JB Financial Group,jbfinancialgroup,"JB FINANCIAL GROUP CO.,LTD",JB금융그룹
977,JBS,jbsthequeen,JBS SA,Jamelia | Lifestyle Blogger
978,JD.com,jd_corporate,"JD.com, Inc.",JD.com (Nasdaq: JD)
979,Jefferies Financial,Jefferies,JEFFERIES FINANCIAL GROUP INC.,"520 Madison Ave, New York, NY"
980,Jeronimo Martins,jeronimo_martins,JERONIMO MARTINS SGPS SA,Jeronimo Martins
981,JETBLUE AIRWAYS,#jetblueairways,JetBlue Airways Corporation,"14,733 posts"
982,JFE Holdings,genean_jeff_free,JFE Holdings,Holding Space Wellness Center
983,JG Summit Holdings,#jgsummitholdings,JG Summit Holdings Inc.,107 posts
984,Jiangsu Hengrui Medicine,Nanjing University of Chinese Medicine,"JIANGSU HENGRUI MEDICINE CO., LTD.","Nanjing, China"
985,Jiangsu Yanghe Brewery,Not Verified,"Jiangsu Yanghe Brewery Joint-Stock Co., Ltd.",Not Verified
986,Jiangsu Zhongnan Construction Group,เจียงซู โปรวินเชียล คอนสตรัคชั่น กรุ๊ป ไทยแลนด์,"Jiangsu Zhongnan Construction Group Co., Ltd.","วชิรธรรมสาธิต 55, พระโขนง"
987,Jiangxi Copper,#jiangxicopper,Jiangxi Copper Co. Ltd.,1 post
988,CNPC Capital,Not Found,Jinan Diesel Engine Company Limited,Not Found
989,Jinke Property Group,The Property Group,"Jinke Property Group Co., Ltd.","1501 N Pierce St, Ste 107, Little Rock, AR"
990,Johnson & Johnson,jnj,Johnson & Johnson,Verified
991,Johnson Controls International,Johnson Controls,"Johnson Controls, Inc.",5757 N Green Bay Ave
992,Johnson Matthey,johnson_matthey,Johnson Matthey Inc.,Johnson Matthey Plc
993,Jointown Pharmaceutical Group,Not Verified,"Jointown Pharmaceutical Group Co., Ltd.",Not Verified
994,Jones Lang LaSalle,jones_lang_lasalle,Jones Lang LaSalle Incorporated,JLL
995,JPMorgan Chase,#jpmorganchase,JP Morgan Chase & Co.,"20,451 posts"
996,Halyk Bank,halykbank.kz,JSC HALYK BANK,Verified
997,Inter Rao,inter_rap_,JSC INTER RAO UES,Inter Rap
998,JSW Steel,jsw.steel,JSW Steel Limited,Verified
999,JTEKT,jtekt_stings,JTEKT North America,ジェイテクトSTINGS
1000,Julius Baer Group,#juliusbaergroup,Julius Baer,8 posts
1001,Juroku Bank,#jurokubank,JUROKU BANK,11 posts
1002,Just Eat Takeaway.com,justeattakeaway,Just Eat Takeaway.com N.V.,JustEat Takeaway.com
1003,Just Group,justchicago,Just Group PLC,Just Chicago Group
1004,JUUL,juulvapor,JUUL Labs Inc,Verified
1005,JXTG Holdings,#jxtgholdings,JXTG Holdings. Inc.,3 posts
1006,Jyske Bank,jyskebank,Jyske Bank A/S,Jyske Bank
1007,Kaisa Group Holdings,Nomalee Group Holdings,KAISA GROUP HOLDINGS LTD.,"12 Ruby Close, Sandton, Gauteng"
1008,Kajima,kajima,KAJIMA CORPORATION,Joshua Yee
1009,Kansai Electric Power,#kansaielectricpower,Kansai Electric Power Company Inc,53 posts
1010,Kansas City Southern,Not Verified,Kansas City Southern,Not Verified
1011,Kao,kaoirfitness,KAO CORP,KA'OIR Fitness
1012,Kasikornbank,kasikornbank,Kasikornbank PCL,ธนาคารกสิกรไทย จำกัด (มหาชน)
1013,Kawasaki Heavy Industries,kawasakiheavyindustries,Kawasaki Heavy Industries Inc,Kawasaki Heavy Industries
1014,KB Financial Group,kb.financialgroup,KB Financial Group Inc.,Verified
1015,KBC,kon_banega_crorepati,KBC Ancora,KBC OFFICIALs✳️
1016,KBC Group,kbcgroup,KBC Bank,Kbc-Group
1017,KDDI,kddiamond,KDDI CORPORATION,kd 💎 diamond
1018,Keiyo Bank,#keiyobank,KEIYO BANK,3 posts
1019,Kellogg,kelloggcollection,Kellogg Company,The Kellogg Collection
1020,Keppel,mkhstea,Keppel Corp. Limited,mark keppel high tea👁👁
1021,Kering,kering_official,Kering Group,Verified
1022,Kerry Group,hhregroup,KERRY GROUP PLC,Kerry Andrade HHRE GROUP
1023,Kerry Properties,westkerryproperties,Kerry Properties Limited,West Kerry Properties
1024,KeyCorp,keycorp_photography,KeyCorp,"Keycorp Photography, Mumbai"
1025,Keyence,keyence_japan,KEYENCE CORPORATION,株式会社キーエンス
1026,Keysight Technologies,keysightcareers,"KEYSIGHT TECHNOLOGIES, INC.",Keysight Technologies
1027,KIA Motors,kiamotorsusa,Kia Motors Corporation,Verified
1028,Huggies,huggies,Kimberly-Clark Corporation,Verified
1029,Kimberly-Clark,kccorp,Kimberly-Clark Corporation,Kimberly-Clark Corporation
1030,Kinder Morgan,kindermorganinc,"Kinder Morgan, Inc",Kinder Morgan
1031,Kingfisher,kingfisher1414,KINGFISHER PLC,Kingfisher DC
1032,Kingspan Group PLC,CIC Group PLC,Kingspan Group PLC,"P.O. Box 59485 00200, Mara Road, Upper Hill, Nairobi, Kenya"
1033,Kintetsu,kintetsu_wakayama,Kintetsu Corp.,近鉄百貨店和歌山店
1034,KION Group,kionsouthamerica,KION GROUP AG,KION Group
1035,Kirin Holdings,kirinholdings,Kirin Holdings Company Limited,孔绮琳
1036,Kirkland Lake Gold,kirklandlake_nojhl,Kirkland Lake Gold Inc,Kirkland Lake Gold Miners
1037,KLA,klaythompson,KLA Corp,Verified
1038,Klepierre,klepierre,Klepierre,Klépierre
1039,Knorr-Bremse,knorr_bremse_rdcenter,Knorr-Bremse AG,Knorr-Bremse R&D Center
1040,Kobe Steel,kobe_steel,Kobe Steel Limited,Kobe Steel
1041,Koç Holding,kocholding,KOC Holding A.S.,Verified
1042,Koch Industries,kochindustriesinc,"Koch Industries, Inc.",Verified
1043,Kohl's,kohls,Kohl's Corporation,Verified
1044,Kojamo Oyj,kiinteistopalvelut_kojamo,Kojamo Oyj,Kiinteistöpalvelut/Kojamo Oyj
1045,Komatsu,komatsuconstruction,Komatsu Ltd.,Komatsu Construction
1046,Kone,koneofakindkreations,"KONE, Inc.",From The Ground Up
1047,DSM,dsmoke7,Koninklijke DSM,Verified
1048,KPN,officialkpn,Koninklijke KPN NV,𝕂𝕡𝕟 🇵🇭
1049,Philips,philips,Koninklijke Philips Electronics Na,Verified
1050,Vopak,royalvopak,Koninklijke Vopak N.V.,Vopak
1051,Korea Electric Power,#koreaelectricpowercorporation,Korea Electric Power Corporation,26 posts
1052,Korea Gas,korea_gashena,Korea Gas Company,롯데회장딸
1053,Korea Investment Holdings,#koreainvestmentholdings,"Korea Investment Holdings Co., Ltd",1 post
1054,Kotak Mahindra Bank,kotakbankltd,Kotak Mahindra Bank Ltd,Verified
1055,KPMG,kpmgus,KPMG International,KPMG U.S.
1056,Krispy Kreme,krispykreme,"Krispy Kreme Doughnuts, Inc.",Verified
1057,Kroger,krogerco,Kroger Co.,Verified
1058,Krung Thai Bank,krungthaibankpcl0000000000,Krung Thai Bank PCL,John Don
1059,Kubota,kubotausa,KUBOTA CORPORATION,Verified
1060,Kuehne & Nagel International,Kuehne & Nagel do Brasil Transportes Internacionais,Kuehne & Nagel,"RB1, Rio de Janeiro, Rio de Janeiro"
1061,Kuwait Finance House,kfhgroup,Kuwait Finance House KSC,Verified
1062,Kweichow Moutai,moutai_global,"Kweichow Moutai Co., Ltd.",Kweichow Moutai
