company,username,esg_company
Electric Power Development,,Electric Power Development Company Limit
Electronic Arts,,Electronic Arts Inc.
Eli Lilly,,Eli Lilly and Company
Emaar Properties,,EMAAR PROPERTIES PJSC
E-mart,,"E-MART CO.,LTD"
Emera,,Emera Inc
Emerson Electric,,Emerson Electric Co.
Emirates,,Emirates National Oil Company
Emirates NBD,,EMIRATES NBD PJSC
Etisalat,,Emirates Telecommunications Corporation
Empire,,Empire Bancorp Inc
EMS-Chemie Holding,,EMS CHEMIE (North America) Inc.
Enbridge,,Enbridge Inc.
Enel,,Enel S.p.A.
Edp-energias De Portugal,,Energias De Portugal
ENGIE,,ENGIE
Eni,,ENI - ENTE NAZIONALE IDROCARBURI
ENN Energy Holdings,,ENN Energy Holdings Limited
Enstar Group,,Enstar Group Ltd.
Entergy,,Entergy Corporation
Enterprise,,Enterprise Rent-A-Car Company
EOG Resources,,"EOG Resources, Inc."
Epiroc,,Epiroc AB
Equifax,,Equifax Inc.
Equinix,,"Equinix, Inc."
Equinor,,EQUINOR ASA
Equitable Holdings,,Equitable Holdings Inc
Equity Residential,,Equity Residential
Ericsson,,Ericsson
Ernst & Young,,Ernst & Young
Erste Group Bank,,Erste Group Bank AG
ESPN,,ESPN
EssilorLuxottica,,EssilorLuxottica SA
Essity Ab,,Essity AB (publ)
Esso,,Esso Francaise SA
ESTEE LAUDER,esteelauder,Estee Lauder Inc.
Clinique,,Clinique VI
Everest Re Group,,Everest RE Group Limited
Evergy,,Evergy Inc
Eversource Energy,eversourceenergy,Eversource Energy
Evonik,,Evonik Industries AG
Exelon,,Exelon Corporation
EXOR,,EXOR S.p.A.
Expedia Group,expedia,Expedia Inc
Expeditors International,,"Expeditors International of Washington, Inc."
Experian,,"Experian Group, Ltd"
Express Scripts,,"Express Scripts, Inc."
Extra Space Storage,,Extra Space
ExxonMobil,exxonmobil,Exxon Mobil Corporation
F.N.B.,,F.N.B. Corporation
Facebook,facebook,Facebook
Fairfax Financial,,Fairfax Financial Holdings Limited
Fannie Mae,,Fannie Mae
Fanuc,,FANUC LTD
Far East Horizon,,FAR EAST HORIZON LIMITED
Far Eastern New Century,,Far Eastern Textile Ltd.
UNIQLO,,"Fast Retailing Co, Ltd"
Fast Retailing,,"Fast Retailing Co, Ltd"
Fastenal,,Fastenal Company
Fastighets Balder,,Fastighets AB Balder
FedEx,fedex,FedEx Corporation
Ferguson,,Ferguson PLC
Ferrari,,Ferrari SpA
Ferrovial,,Ferrovial S.A.
Fiat Chrysler Automobiles,,Fiat Auto
Fibra Uno,,Fibra Uno Administracion SA de CV
Fidelity Investments,,Fidelity Investments
Fidelity National Financial,,"Fidelity National Financial, Inc."
Fifth Third Bank,fifththirdbank,Fifth Third Bank
Financial Street Holdings,,"FINANCIAL STREET HOLDINGS CO., LTD."
Financiere de l'Odet,,Financiere de l'Odet SA
Finatis,,FINATIS S.A.
FinecoBank,,FinecoBank SpA
First Abu Dhabi Bank,,First Abu Dhabi Bank P.J.S.C.
First American Financial,,First American Financial Corp
First Citizens Bank,,"First Citizens BancShares, Inc."
First Financial Holding,,First Financial Holding Co. Ltd.
First Horizon National,,First Horizon National Corporation
First Pacific,,FIRST PACIFIC CO. LTD.
First Republic Bank,,First Republic Bank
FirstEnergy,,FirstEnergy Corp.
FirstRand,,FirstRand Ltd.
Fidelity National Information,,FIS
Fiserv,,"Fiserv, Inc."
FleetCor Technologies,,"FleetCor Technologies, Inc."
Flex,,FLEX FOODS LIMITED
Fluor,,Fluor Corporation
Technipfmc,,"FMC Technologies, Inc."
Femsa,,Fomento Economico Mexicano S.A.
Foot Locker,footlocker,"Foot Locker, Inc."
Ford Motor,ford,Ford Motor Company
Forever 21,,Forever 21 Inc
Formosa Chemicals,,Formosa Chemicals & Fibre Corp.
Formosa Petrochemical,,Formosa Petrochemical Corp.
Formosa Plastics,,Formosa Plastics Corp.
Fortescue Metals Group,,FORTESCUE METALS GROUP LTD
Fortinet,,Fortinet Inc
Fortis (Canada),,Fortis Inc
Fortive,,FORTIVE CORPORATION
Fortum,,Fortum OYJ
Foshan Haitian Flavouring and Food,,"Foshan Haitian Flavouring & Food Co., Ltd."
Fosun International,,Fosun International Ltd.
Shanghai Fosun Pharmaceutical,,Fosun Pharmaceutical
Founder Securities,,"FOUNDER SECURITIES CO., LTD."
Fox Corp,,Fox Corp
Franco-Nevada,,Franco-Nevada Corporation
Franklin Resources,,Franklin Resources Inc
Freddie Mac,freddiemaccorp,Freddie Mac
Freeport-McMoRan,,Freeport-McMoRan Copper & Gold Inc.
Fresenius,,Fresenius SE
Frontier Communications,,Frontier Communications
Fubon Financial,,Fubon Financial Holding Co. Ltd.
Fujifilm Holdings,,Fujifilm Holdings Corp.
Fujitsu,,FUJITSU LIMITED
Fukuoka Financial Group,,Fukuoka Financial Group Inc.
Fuyo General Lease,,"Fuyo General Lease Co., Ltd."
GAIL India,,Gail(India) Limited
Galaxy Entertainment,,GALAXY ENTERTAINMENT GROUP LIMITED
Galp Energia,,Galp Energia Sgps
GAMESTOP,gamestop,GameStop Corp.
GAP,gap,Gap Inc.
Garmin,,Garmin International Inc.
Gazprom,,Gazprom
GD Power Development,,"GD Power Development Co., Ltd."
Geberit,,GEBERIT AG
Gecina,,Gecina
Geely Automobile Holdings,,Geely Automobile Holdings Ltd.
GEICO,,GEICO
Gemdale,,Gemdale Corporation
GCI Liberty,,"General Communication, Inc. (GCI)"
General Electric,generalelectric,General Electric Company
General Mills,generalmills,"General Mills, Inc."
Chevrolet,,General Motors Corporation (GM)
General Motors,generalmotors,General Motors Corporation (GM)
Genmab,,Genmab A/S
Genting,,Genting Bhd
Genuine Parts,genuineparts,Genuine Parts Company
Genworth Financial,,"Genworth Financial, Inc."
George Weston,,George Weston Limited
GF Securities,,"GF Securities Co., Ltd."
Gilead Sciences,,"Gilead Sciences, Inc."
Givaudan,,Givaudan S.A.
GlaxoSmithKline,,Glaxo Smith Kline
Glencore International,,GLENCORE INTERNATIONAL PLC
Global Payments,,Global Payments Inc.
Globe Life,,Globe Life Inc
Hyundai Glovis,,GLOVIS CO. LTD.
Goodman Group,,Goodman Group
Google,,"Google, Inc."
Alphabet,,"Google, Inc."
Grasim Industries,,Grasim Industries Limited
Great Wall Motor,,"Great Wall Motor Co., Ltd."
Gree Electric Appliances,,Gree Electrical Appliances Income
Gree,,Gree Inc
Greenland Holdings Group,,Greenland Holdings Corporation Limited
Greentown China Holdings,,Greentown China Holdings Ltd.
Grifols,,Grifols SA
Danone,,Groupe Danone
SEB SA,,Groupe SEB
Grupo Aval,,"GRUPO AVAL ACCIONES Y VALORES, S.A."
Grupo Bimbo,,"Grupo Bimbo, S.A. de C.V."
Banco Btg Pactual,,Grupo BTG Pactual
Grupo Elektra,,Grupo Elektra S.A. de C.V.
Banorte,,"Grupo Financiero Banorte, S.A. de C.V."
Grupo Mexico,,Grupo Mexico S.A.
Companhia Brasileira de Distribuicao,,Grupo Pao de Acucar - Companhia Brasileira de Distribuicao
GS Holdings,,GS Holdings Corp.
Guangdong Haid Group,,"Guangdong Haid Group Co., Limited"
Guangdong Investment,,Guangdong Investment Ltd.
Guangzhou Automobile Group,,Guangzhou Automobile Group Co. Ltd.
Guangzhou Baiyunshan Pharmaceutical Holdings,,GUANGZHOU BAIYUNSHAN PHARMACEUTICAL HOLDINGS COMPANY LIMITED
Yuexiu Property,,GUANGZHOU INV.CO.LTD.
Guangzhou R&F,,Guangzhou R&F Properties Co.Ltd.
GUCCI,,Gucci
Guoco Group,,Guoco Group Limited
Guosen Securities,,Guosen Securities Co Ltd
Guotai Junan Securities,,Guotai Junan International Holdings Limited
KRAFT HEINZ,kraftheinzus,H. J. Heinz Company
Sabanci Holding,,Haci Omer Sabanci Holding A.S.
Haidilao,,Haidilao International Holding Ltd
Haier,,"HAIER ELECTRONICS GROUP CO., LTD."
Hainan Airlines,,"Hainan Airlines Co., Ltd."
Haitong Securities,,HAITONG Securities Company Limited
ICA Gruppen,,Hakon Invest AB
Hakuhodo DY Holdings,,Hakuhodo DY Holdings Inc
HAL Trust,,HAL Trust
Halliburton,halliburton,Halliburton Company
Hallmark Cards,,"Hallmark Cards, Inc."
Hana Financial Group,,Hana Financial Group Inc.
HANESBRANDS,hanes,Hanesbrands Inc.
Hang Lung Group,,Hang Lung Group Limited
Hankyu Hanshin Holdings,,Hankyu Hanshin Holdings Inc
Hanwa,,HANWA COMPANY LIMITED
Hanwha,,Hanwha Chemical
Harbin Bank,,Harbin Bank Co Ltd
HARLEY-DAVIDSON,harleydavidson,"Harley-Davidson, Inc."
Hasbro,,"Hasbro, Inc."
Haseko,,Haseko Corporation
HCA Healthcare,,HCA Inc
HCL,,HCL Infosystems Ltd.
HCL Technologies,,HCL Technologies Ltd.
HDFC Bank,,HDFC Bank Ltd.
Healthpeak Properties,,"Healthpeak Properties, Inc."
Heico,,HEICO Corporation
HeidelbergCement,,Heidelbergcement AG
Heineken,,Heineken NV
Helvetia Holding,,Helvetia Holding AG
Henderson Land,,Henderson Land Development Company Limit
Hengli Petrochemical,,"Hengli Petrochemical Co., Ltd."
Henkel,,HENKEL KGAA
H&M,,Hennes & Mauritz
hennessy,,"Hennessy Advisors, Inc."
Henry Schein,,Henry Schein
Hermès International,,Hermes International
HERTZ GLOBAL HOLDINGS,hertz,Hertz Global Holdings Inc
Hess,,Hess Corporation
Hesteel,,Hesteel Group Company Limited
Hewlett Packard Enterprise,hp,Hewlett Packard Enterprise Co
Hexagon,,Hexagon AB
Hikari Tsushin,,Hikari Tsushin Inc
Hilton,hilton,HILTON WORLDWIDE HOLDINGS INC.
Hindalco Industries,,"Hindalco Industries, Ltd."
Hitachi,,Hitachi Limited
Hobby Lobby,,Hobby Lobby
Hokkoku Bank,,HOKKOKU BANK
HollyFrontier,,HollyFrontier Corp.
Holmen AB,,HOLMEN AB
Hologic,,"Hologic, Inc."
Home Depot,homedepot,"Home Depot, Inc."
Hon Hai Precision,,Hon Hai Precision Industry Co. Ltd.
Honda Motor,,Honda Motor Company Limited
Honeywell International,,Honeywell International Inc.
Hong Kong Exchanges,,Hong Kong Exchanges & Clearing Limited
Hong Leong Financial,,Hong Leong Financial Group Berhad
Hopson Development Holdings,,Hopson Development Holdings Ltd.
Hormel Foods,,Hormel Foods Corporation
Host Hotels & Resorts,,Host Hotels & Resorts Inc.
Hotai Motor,,HOTAI MOTOR COMPANY LIMITED
HDFC,,Housing Development Finance Corp. Ltd.
Howmet Aerospace,,HOWMET AEROSPACE INC.
Hoya,,Hoya Corporation
HSBC Holdings,,HSBC Holdings PLC
Hua Nan Financial,,Hua Nan Financial Holding Co. Ltd.
Huaxia Bank,,Hua Xia Bank
Huadian Power International,,Huadian Power International Corp. Ltd.
Huafa Industrial,,"Huafa Industrial Co.,LTD.Zhuhai"
Huaibei Mining Holdings,,"Huaibei Mining (Group) Co., Ltd"
Huaneng Power International,,Huaneng Power International Inc.
Huatai Securities,,"Huatai Securities Co., Ltd."
Huawei,,Huawei Technologies
Huishang Bank,,HUISHANG BANK CORPORATION LIMITED
Humana,humana,Humana Inc.
Hunan Valin Steel,,"Hunan Valin Steel Co., Ltd."
Huntington Bank,,Huntington Bancshares Incorporated
Huntington Ingalls Industries,,"Huntington Ingalls Industries, Inc."
Huntsman,,Huntsman International LLC
Husky Energy,,Husky Energy Inc.
Hyakugo Bank,,HYAKUGO BANK
Hyakujushi Bank,,HYAKUJUSHI BANK
Hyatt Hotels,,Hyatt Hotels Corporation
Hydro One,,Hydro One Inc.
SK Hynix,,Hynix Semiconductor Inc.
Hyundai Engineering,,Hyundai Engineering & Construction
Korea Shipbuilding & Offshore Engineering,,"Hyundai Heavy Industries Co., Ltd."
Hyundai Heavy Industries Holdings,,Hyundai Heavy Industries Holdings Co. Ltd.
Hyundai Marine & Fire,,HYUNDAI MARINE & FIRE INSURANCE COMPANY
Hyundai Mobis,,Hyundai Mobis
Hyundai Motor,,Hyundai Motor Co.
Hyundai Steel,,Hyundai Steel Company
Hikvision,,"HZ HIK-VISION DIGITAL TECH. CO.,LTD."
IAC/InterActiveCorp,,IAC/Interactivecorp
Iberdrola,,Iberdrola Renovables S.A.
ICICI Bank,,ICICI Bank Ltd
IDBI Bank,,IDBI Bank Limited
Vodafone Idea,,Idea Cellular Ltd.
Idemitsu Kosan,,Idemitsu Kosan Company Limited
IDEX,,IDEX Corporation
IDEXX Laboratories,,"IDEXX Laboratories, Inc."
iHeartMedia,,"iHeartMedia, Inc."
IHS Markit,,IHS Markit Ltd
Iida Group Holdings,,"Iida Group Holdings Co., Ltd."
IKEA,,IKEA Group
Iliad,,Iliad S.A.
Illinois Tool Works,,Illinois Tool Works Inc.
Illumina,,"Illumina, Inc."
Imperial Brands,,Imperial Tobacco Group Ltd
Inchcape,,Inchcape Plc
Incyte,,Incyte Corporation
Indian Bank,,Indian Bank Ltd.
Indian Oil,,Indian Oil Corp. Ltd.
ZARA,,Inditex SA
Indorama Ventures,,Indorama Ventures PCL
IndusInd Bank,,IndusInd Bank Limited
ICBC,,Industrial & Commercial Bank of China
iA Financial Corporation,,Industrial Alliance Insurance and Financial Services Inc.
Industrial Bank,,Industrial Bank Co. Ltd.
Industrial Bank of Korea,,Industrial Bank Of Korea
Infineon Technologies,,Infineon Technologies AG
Infosys,,Infosys Technologies
ING Group,,ING GROEP N.V.
Inmobiliaria Colonial,,Inmobiliaria Colonial SA
Inner Mongolia Yili,,INNER MONGOLIA YILI ENERGY COMPANY LIMITED
Yili,,"INNER MONGOLIA YILI INDUSTRIAL GROUP CO., LTD."
Inpex,,INPEX HOLDINGS INC
Inspur Electronic Information Industry,,"Inspur Electronic Information Industry Co., Ltd."
Insurance Australia Group,,Insurance Australia Group
Intact Financial,,Intact Financial Corp.
Intel,intel,Intel Corporation
Interactive Brokers Group,,Interactive Brokers Group Inc.
Holiday Inn,,Intercontinental Hotels Group
IntercontinentalExchange,,"IntercontinentalExchange, Inc."
IBM,ibm,International Business Machines Corporation (IBM)
International Airlines,,International Consolidated Airlines Group S. A.
International Flavors & Fragrances,,International Flavors & Fragrances Inc.
International Paper,,International Paper
Interpublic Group,interpublicipg,Interpublic Group of Companies
Intesa Sanpaolo,,Intesa Sanpaolo
Intuit,,Intuit Inc.
Intuitive Surgical,,"Intuitive Surgical, Inc."
Inventec,,Inventec Corp.
Invesco,,Invesco Ltd.
Investec,,Investec Limited
Investor AB,,Investor AB
IQVIA,,Iqvia Holdings Inc
Israel Discount Bank,,Israel Discount Bank Limited
Isuzu Motors,,Isuzu Motors Limited
Itaú Unibanco Holding,,Itau Unibanco Holding SA
Itaúsa,,Itausa Investimentos Itau SA
ITC,,ITC Holdings Corp
Itochu,,Itochu
J.C. PENNEY,jcpenney,"J. C. Penney Company, Inc."
J Sainsbury,,J. SAINSBURY PLC
J.B. Hunt Transport Services,,"J.B. Hunt Transport Services, Inc."
JM Smucker,smuckersbrand,J.M. Smucker Co.
Jacobs,,Jacobs Douwe Egberts BV
Land Rover,,Jaguar Land Rover
Warby Parker,,"JAND, Inc."
Japan Airlines,,Japan Airlines
Japan Exchange Group,,"Japan Exchange Group, Inc."
Japan Post Holdings,,"JAPAN POST HOLDINGS Co.,Ltd."
Japan Tobacco,,Japan Tobacco Inc
Jardine Matheson,,Jardine Matheson Holdings Ltd.
JB Financial Group,,"JB FINANCIAL GROUP CO.,LTD"
JBS,,JBS SA
JD.com,,"JD.com, Inc."
Jefferies Financial,,JEFFERIES FINANCIAL GROUP INC.
Jeronimo Martins,,JERONIMO MARTINS SGPS SA
JETBLUE AIRWAYS,jetblue,JetBlue Airways Corporation
JFE Holdings,,JFE Holdings
JG Summit Holdings,,JG Summit Holdings Inc.
Jiangsu Hengrui Medicine,,"JIANGSU HENGRUI MEDICINE CO., LTD."
Jiangsu Yanghe Brewery,,"Jiangsu Yanghe Brewery Joint-Stock Co., Ltd."
Jiangsu Zhongnan Construction Group,,"Jiangsu Zhongnan Construction Group Co., Ltd."
Jiangxi Copper,,Jiangxi Copper Co. Ltd.
CNPC Capital,,Jinan Diesel Engine Company Limited
Jinke Property Group,,"Jinke Property Group Co., Ltd."
Johnson & Johnson,jnj,Johnson & Johnson
Johnson Controls International,,"Johnson Controls, Inc."
Johnson Matthey,,Johnson Matthey Inc.
Jointown Pharmaceutical Group,,"Jointown Pharmaceutical Group Co., Ltd."
Jones Lang LaSalle,,Jones Lang LaSalle Incorporated
JPMorgan Chase,jpmorgan,JP Morgan Chase & Co.
Halyk Bank,,JSC HALYK BANK
Inter Rao,,JSC INTER RAO UES
JSW Steel,,JSW Steel Limited
JTEKT,,JTEKT North America
Julius Baer Group,,Julius Baer
Juroku Bank,,JUROKU BANK
Just Eat Takeaway.com,,Just Eat Takeaway.com N.V.
Just Group,,Just Group PLC
JUUL,,JUUL Labs Inc
JXTG Holdings,,JXTG Holdings. Inc.
Jyske Bank,,Jyske Bank A/S
Kaisa Group Holdings,,KAISA GROUP HOLDINGS LTD.
Kajima,,KAJIMA CORPORATION
Kansai Electric Power,,Kansai Electric Power Company Inc
Kansas City Southern,,Kansas City Southern
Kao,,KAO CORP
Kasikornbank,,Kasikornbank PCL
Kawasaki Heavy Industries,,Kawasaki Heavy Industries Inc
KB Financial Group,,KB Financial Group Inc.
KBC,,KBC Ancora
KBC Group,,KBC Bank
KDDI,,KDDI CORPORATION
Keiyo Bank,,KEIYO BANK
Kellogg,kelloggsus,Kellogg Company
Keppel,,Keppel Corp. Limited
Kering,,Kering Group
Kerry Group,,KERRY GROUP PLC
Kerry Properties,,Kerry Properties Limited
KeyCorp,,KeyCorp
Keyence,,KEYENCE CORPORATION
Keysight Technologies,,"KEYSIGHT TECHNOLOGIES, INC."
KIA Motors,,Kia Motors Corporation
Huggies,,Kimberly-Clark Corporation
Kimberly-Clark,,Kimberly-Clark Corporation
Kinder Morgan,,"Kinder Morgan, Inc"
Kingfisher,,KINGFISHER PLC
Kingspan Group PLC,,Kingspan Group PLC
Kintetsu,,Kintetsu Corp.
KION Group,,KION GROUP AG
Kirin Holdings,,Kirin Holdings Company Limited
Kirkland Lake Gold,,Kirkland Lake Gold Inc
KLA,,KLA Corp
Klepierre,,Klepierre
Knorr-Bremse,,Knorr-Bremse AG
Kobe Steel,,Kobe Steel Limited
Koç Holding,,KOC Holding A.S.
Koch Industries,,"Koch Industries, Inc."
Kohl's,kohls,Kohl's Corporation
Kojamo Oyj,,Kojamo Oyj
Komatsu,,Komatsu Ltd.
Kone,,"KONE, Inc."
DSM,,Koninklijke DSM
KPN,,Koninklijke KPN NV
Philips,,Koninklijke Philips Electronics Na
Vopak,,Koninklijke Vopak N.V.
Korea Electric Power,,Korea Electric Power Corporation
Korea Gas,,Korea Gas Company
Korea Investment Holdings,,"Korea Investment Holdings Co., Ltd"
Kotak Mahindra Bank,,Kotak Mahindra Bank Ltd
KPMG,,KPMG International
Krispy Kreme,,"Krispy Kreme Doughnuts, Inc."
Kroger,krogerco,Kroger Co.
Krung Thai Bank,,Krung Thai Bank PCL
Kubota,,KUBOTA CORPORATION
Kuehne & Nagel International,,Kuehne & Nagel
Kuwait Finance House,,Kuwait Finance House KSC
Kweichow Moutai,,"Kweichow Moutai Co., Ltd."
KWG Group Holdings,,KWG Property Holding Limited
Kyocera,,KYOCERA CORPORATION
Kyushu Electric Power,,Kyushu Electric Power Company Inc
Victoria's Secret,,L Brands
L Brands,,L Brands
L.L. Bean,,"L.L. Bean, Inc."
L3Harris Technologies,,L3Harris Technologies Inc
LabCorp,,Laboratory Corporation of America Holdings
LafargeHolcim,,LafargeHolcim Ltd
Lam Research,,Lam Research Corporation
Lamb Weston Holdings,,Lamb Weston
LAND O'LAKES,landolakesinc,Land O'Lakes
LARGAN Precision,,Largan Precision Co. Ltd.
Larsen & Toubro,,Larsen & Toubro
Las Vegas Sands,,"Las Vegas Sands, Inc."
Lear,,Lear Corporation
LEG Immobilien AG,,LEG Immobilien
Legal & General Group,,Legal & General Group PLC
Legend Holding,,Legend Corporation Ltd
Lego,,LEGO
Legrand,,Legrand
Leidos,,Leidos Holdings Inc
Lennar,,Lennar Corporation
Lenovo Group,,Lenovo Group Ltd.
Leonardo,,Leonardo S.p.A
Levi's,,Levi Strauss & Co.
LG Chem,,LG Chem Ltd
LG Group,,LG Corp.
LG Display,,"LG Display Co., Ltd."
LG Electronics,,LG Electronics Inc.
LG Household & Health Care,,"LG Household & Health Care, Ltd."
Liberbank,,"Liberbank, S.A."
Liberty Global,,"Liberty Global, Inc."
LIBERTY MUTUAL INSURANCE GROUP,libertymutual,Liberty Mutual Group
LIC,,"LIC CO.,LTD."
Lidl,,Lidl Dienstleistung GmbH & Co KG (Lidl)
Lincoln National,,Lincoln National Corp.
Linde,,LINDE PUBLIC LIMITED COMPANY
Lindt & Sprungli,,Lindt & Sprungli
Link REIT,,Link Real Estate Investment Trust
LinkedIn,,LinkedIn Corp.
LITHIA MOTORS,lithiamotors,"Lithia Motors, Inc."
Live Nation Entertainment,,"Live Nation, Inc."
Lixil Group,,LIXIL Group Corp.
LKQ,,LKQ Corporation
Lloyds Banking Group,,Lloyds TSB Group Plc
Lockheed Martin,lockheedmartin,Lockheed Martin Corporation
Loews,,Loews Corporation
Logan Property Holdings,,Logan Property Holdings Co Ltd
London Stock Exchange,,London Stock Exchange
Longfor Group Holdings,,Longfor Properties Company Limited
Longi Green Energy Technology,,LONGi Green Energy Technology Co Ltd
Lonza Group,,Lonza Inc
L'Oréal,,L'Oreal
Lotte Chemical,,Lotte
Lotte Shopping,,"Lotte Shopping Co., Ltd."
Lowe's,loweshomeimprovement,"Lowe's Companies, Inc."
LT Group,,"LT GROUP, INC."
Luzhou Lao Jiao,,Lu Zhou Lao Jiao Co.Ltd
LukOil,,Lukoil Holdings
Lululemon Athletica,,lululemon athletica
Lundbergs,,Lundbergforetagen AB
Lundin Energy,,Lundin Petroleum AB
Luxshare Precision Industry,,Luxshare Precision Industry Co Ltd
Luzerner Kantonalbank,,Luzerner Kantonalbank
Louis Vuitton,,LVMH
Lyft,,Lyft Inc
M&G,,M&G PLC
M&T Bank,,M&T Bank Corporation
Macquarie Group,,Macquarie Group
Macy's,macys,"Macy's, Inc."
Magazine Luiza,,Magazine Luiza S.A.
Magna International,,Magna International Inc.
Magnit,,Magnit Ojsc
Magnitogorsk Iron & Steel,,Magnitogorskiy metallurg. kombinat OAO
Mahindra & Mahindra,,Mahindra & Mahindra Ltd
Makita,,MAKITA CORPORATION
Maybank,,Malayan Banking Bhd
Manpower,,ManpowerGroup
Manulife,,Manulife Financial Corporation
Marathon Oil,,Marathon Oil Corporation
Marathon Petroleum,,Marathon Petroleum Corp.
Mowi ASA,,MARINE HARVEST ASA
Markel,,Markel Corporation
Marketaxess Holdings,,MarketAxess Holdings Inc.
Marks & Spencer,,Marks and Spencer Group p.l.c.
Marriott International,marriottintl,"Marriott International, Inc."
Marsh & McLennan,,Marsh & McLennan Companies
Marshalls,,Marshalls PLC
Martin Marietta Materials,,"Martin Marietta Materials, Inc."
Marubeni,,Marubeni Corp.
Marvell Technology Group,,Marvell Technology Group Ltd.
Masco,,Masco Corporation
Masraf Al Rayan,,Masraf Al Rayan (Q.S.C.)
Mastercard,mastercard,MasterCard Inc.
Match Group,,Match Group Inc
MATTEL,mattel,"Mattel, Inc."
Maxim Integrated Products,,"Maxim Integrated Products, Inc."
Mazda Motor,,MAZDA MOTOR CORPORATION
McCain,,McCain Foods Limited
McCormick,,"McCormick & Company, Incorporated"
McDonald's,mcdonalds,McDonald's Corporation
McKesson,,McKesson Corporation
McKinsey,,McKinsey & Company
MediaTek,,Mediatek Inc.
Medical Properties Trust,,"Medical Properties Trust, Inc."
Mediobanca,,Mediobanca
Banca Mediolanum,,Mediolanum
Medipal Holdings,,MEDIPAL HOLDINGS CORPORATION
Medtronic,,"Medtronic, Inc."
Mega Financial Holding,,Mega Financial Holding Co. Ltd.
Meiji Holdings,,MEIJI Holdings Co Ltd
Meituan Dianping,,Meituan Dianping
Melrose Industries,,Melrose PLC
MercadoLibre,,Mercadolibre Inc.
Mercantil Servicios,,"Mercantil Servicios Financieros, C.A."
Merck & Co.,merck,"Merck & Co., Inc."
EMD Group,merck,"Merck & Co., Inc."
Mercuries & Associates,,"MERCURIES & ASSOCIATES,LTD"
Meritz Financial Group,,MERITZ FINANCIAL GROUP INC.
Meritz Securities,,"MERITZ SECURITIES CO.,LTD"
Merlin Properties SOCIMI S.A,,Merlin Properties SOCIMI
Metallurgical Corp of China,,Metallurgical Corp. of China Ltd.
MetLife,,"MetLife, Inc."
Metropolitan Bank & Trust,,Metropolitan Bank & Trust Company
Mettler-Toledo International,,Mettler-Toledo International Inc.
MGM Resorts,,MGM Resorts International
MICHAELS COS.,michaelsstores,"Michaels Stores, Inc."
Michelin Group,,Michelin
Microchip Technology,,Microchip Technology Incorporated
Xbox,,Microsoft Corporation
Microsoft,microsoft,Microsoft Corporation
Mid-america Apartment Communities,,"Mid-America Apartment Communities, Inc."
Midea Group,,"Midea Group Co., Ltd."
Migdal Insurance,,Migdal Insurance & Financial Holdings
Banco Comercial Portugues,,Millennium Banco Comercial Portugues
Mirae Asset Daewoo,,Mirae Asset Daewoo
Mitsubishi Chemical,,Mitsubishi Chemical Holdings Corp.
Mitsubishi,,Mitsubishi Corp.
Mitsubishi Electric,,Mitsubishi Electric USA
Mitsubishi Estate,,Mitsubishi Estate Company Limited
Mitsubishi Heavy Industries,,Mitsubishi Heavy Industries
Mitsubishi Motors,,Mitsubishi Motors Corp.
Mitsubishi UFJ Lease,,Mitsubishi UFJ Lease & Finance
Mitsui,,Mitsui & Company Limited
Mizrahi Tefahot Bank,,Mizrahi Tefahot Bank Ltd.
Mizuho Financial,,Mizuho Financial Group Inc
Moscow Exchange,,MMVB-RTS OAO
Mohawk Industries,,"Mohawk Industries, Inc."
MOL Hungarian Oil,,MOL Hungarian Oil and Gas Plc
Molina Healthcare,,"Molina Healthcare, Inc."
Molson Coors Brewing,,Molson Coors Brewing Company
Momentum Metropolitan Holdings,,Momentum Metropolitan Holdings Ltd
Mondelez International,,Mondelez International
Mondi,,Mondi PLC
Monster Beverage,,Monster Beverage Corp
Moody's,,Moody's Corp.
Morgan Stanley,morgan.stanley,Morgan Stanley
Motorola Solutions,motorolaus,"Motorola, Inc."
Mozilla,,Mozilla Corporation
MS&AD Insurance,,"MS&AD Insurance Group Holdings, Inc."
MSCI,,MSCI Inc.
MTN Group,,MTN Group Limited
MTR,,MTR Corporation Limited
MTU Aero Engines AG,,MTU Aero Engines North America
Munich Re,,MUENCHENER RUCKVERSICHERUNGS-GES AG
Murata Manufacturing,,MURATA MANUFACTURING CO LIMITED
Murphy Oil,,Murphy Oil Corporation
Murphy USA,,Murphy USA Inc.
Musashino Bank,,MUSASHINO BANK
Muyuan Foodstuff,,Muyuan Foodstuff Co Ltd
Mylan,,Mylan Laboratories Inc.
Bandai Namco Holdings,,Namco Bandai Holdings Inc
Nan Ya Plastics,,Nan Ya Plastics Corp.
Nanto Bank,,NANTO BANK
NARI Technology Development,,"NARI Technology Development Co., Ltd."
Naspers,,Naspers Ltd.
nab,,National Australia Bank Limited
National Bank of Canada,,National Bank of Canada
National Bank of Kuwait,,National Bank Of Kuwait
National Grid,,National Grid plc
NATIONAL OILWELL VARCO,nationaloilwellvarco,National Oilwell Varco
NatWest,,National Westminster Bank Plc (NatWest)
NATIONWIDE,nationwide,"Nationwide Financial Services, Inc."
Natixis,,Natixis
Naturgy Energy Group,,Naturgy Energy Group SA
Naver,,Naver Corporation
Navient,,NAVIENT CORPORATION
NBC,,NBC Universal
National Commercial Bank,,NCB
NCR,,NCR Corporation
NEC,,NEC Corporation
Nedbank,,Nedbank Group Limited
Neste,,Neste Oil OYJ
Nestle,,Nestle
